idPNN,radio,slope
01010001,radio 2,0.0158116616666667
01010001,radio 6,0.0145517880000002
01010001,radio 10,0.014283727
01010001,radio 14,0.0203105710000001
01010001,radio 18,0.0142797583333333
01010001,radio 22,0.014281559
01010001,radio 26,0.014281559
01010001,radio 26.5,0.014281559
01010001,radio 30,0.017638386
01010002,radio 2,0.085350215
01010002,radio 6,0.076185715
01010002,radio 10,0.0713257090000001
01010002,radio 14,0.127642233
01010002,radio 18,0.0691055173333333
01010002,radio 22,0.0683137166666666
01010002,radio 26,0.068257432
01010002,radio 26.5,0.068132177
01010002,radio 30,0.101550056666667
01010003,radio 2,0.0667668126666667
01010003,radio 6,0.059589409
01010003,radio 10,0.0554149439999999
01010003,radio 14,0.0985380666666666
01010003,radio 18,0.0530705099999999
01010003,radio 22,0.0518687560000001
01010003,radio 26,0.0517531773333335
01010003,radio 26.5,0.0514605053333334
01010003,radio 30,0.0791240853333333
01010004,radio 2,0.0118153096666667
01010004,radio 6,0.0108159223333334
01010004,radio 10,0.0102722533333333
01010004,radio 14,0.017161104
01010004,radio 18,0.0100286973333335
01010004,radio 22,0.00994711066666664
01010004,radio 26,0.00994209899999987
01010004,radio 26.5,0.00993097866666666
01010004,radio 30,0.0136677306666667
01010005,radio 2,0.0114161853333334
01010005,radio 6,0.0113438696666667
01010005,radio 10,0.0112380626666667
01010005,radio 14,0.013767845
01010005,radio 18,0.0112212226666667
01010005,radio 22,0.011221051
01010005,radio 26,0.011221051
01010005,radio 26.5,0.011221051
01010005,radio 30,0.0117084433333334
01010006,radio 2,0.0140277763333334
01010006,radio 6,0.0124054826666666
01010006,radio 10,0.0114813396666666
01010006,radio 14,0.0195337273333335
01010006,radio 18,0.011003769
01010006,radio 22,0.010803135
01010006,radio 26,0.0107866343333333
01010006,radio 26.5,0.0107452706666666
01010006,radio 30,0.016646603
01010007,radio 2,0.0214554603333333
01010007,radio 6,0.0199475519999999
01010007,radio 10,0.0197427803333333
01010007,radio 14,0.0342662926666666
01010007,radio 18,0.0197367983333333
01010007,radio 22,0.0197367983333333
01010007,radio 26,0.0197367983333333
01010007,radio 26.5,0.0197367983333333
01010007,radio 30,0.0260851936666668
01010008,radio 2,0.0119925893333334
01010008,radio 6,0.0102675786666667
01010008,radio 10,0.0100359066666666
01010008,radio 14,0.0209848313333333
01010008,radio 18,0.0102843063333334
01010008,radio 22,0.0102957203333333
01010008,radio 26,0.0102957203333333
01010008,radio 26.5,0.0102957203333333
01010008,radio 30,0.0146128933333333
01010009,radio 2,0.0178033163333332
01010009,radio 6,0.0160522823333334
01010009,radio 10,0.0150062399999999
01010009,radio 14,0.0252174013333334
01010009,radio 18,0.0144184903333334
01010009,radio 22,0.0141187423333333
01010009,radio 26,0.0140905456666666
01010009,radio 26.5,0.0140193293333334
01010009,radio 30,0.0207042179999998
01010010,radio 2,0.022030251
01010010,radio 6,0.0197764870000001
01010010,radio 10,0.0184450246666666
01010010,radio 14,0.0320815226666666
01010010,radio 18,0.017683309
01010010,radio 22,0.017281638
01010010,radio 26,0.0172417823333332
01010010,radio 26.5,0.0171404083333334
01010010,radio 30,0.0258829430000002
01010011,radio 2,0.00873133433333343
01010011,radio 6,0.00781072199999995
01010011,radio 10,0.00726464299999988
01010011,radio 14,0.0130279850000001
01010011,radio 18,0.00694774733333333
01010011,radio 22,0.00677755933333342
01010011,radio 26,0.00676072266666664
01010011,radio 26.5,0.00671744
01010011,radio 30,0.0103304323333335
01010012,radio 2,0.0550256709999998
01010012,radio 6,0.0485492536666667
01010012,radio 10,0.0452770643333333
01010012,radio 14,0.0856003243333335
01010012,radio 18,0.0437297859999999
01010012,radio 22,0.0430976583333334
01010012,radio 26,0.0430500166666666
01010012,radio 26.5,0.0429438746666667
01010012,radio 30,0.0670731276666668
01010014,radio 2,0.00073809433333327
01010014,radio 6,0.000741215000000016
01010014,radio 10,0.000740274666666724
01010014,radio 14,0.00672026966666669
01010014,radio 18,0.000740274666666724
01010014,radio 22,0.000740274666666724
01010014,radio 26,0.000740274666666724
01010014,radio 26.5,0.000740274666666724
01010014,radio 30,0.00060120433333329
01010015,radio 2,0.00551141033333321
01010015,radio 6,0.00552195100000001
01010015,radio 10,0.00563464466666663
01010015,radio 14,0.00792793133333321
01010015,radio 18,0.00571642999999999
01010015,radio 22,0.00572395799999999
